"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","agent_model","disable_wandb","early_stop_max_years","entity","last_turn_year","log_level","map_name","max_message_rounds","max_years","model","no_save","output_folder","project","save","seed","summarizer_model","temperature","top_p","messages/num_avg","messages/num_total","meta/year_fractional","model/completion_time_sec_avg","orders/num_total","orders/num_valid","orders/valid_ratio_avg_avg","orders/valid_ratio_avg_avg/phase_A","orders/valid_ratio_avg_avg/phase_M","orders/valid_ratio_avg_avg_phase_A","orders/valid_ratio_avg_avg_phase_M","orders/valid_ratio_avg_avg_phase_R","orders/valid_ratio_total_avg","score/centers/AUS","score/centers/ENG","score/centers/FRA","score/centers/GER","score/centers/ITA","score/centers/RUS","score/centers/TUR","score/units/AUS","score/units/ENG","score/units/FRA","score/units/GER","score/units/ITA","score/units/RUS","score/units/TUR","score/welfare/AUS","score/welfare/ENG","score/welfare/FRA","score/welfare/GER","score/welfare/ITA","score/welfare/RUS","score/welfare/TUR","step","tokens/completion_tokens_avg","tokens/completion_tokens_max","tokens/completion_tokens_median","tokens/completion_tokens_min","tokens/prompt_tokens_avg","tokens/prompt_tokens_max","tokens/prompt_tokens_median","tokens/prompt_tokens_min","tokens/total_tokens_avg","tokens/total_tokens_max","tokens/total_tokens_median","tokens/total_tokens_min","usage/completion_tokens","usage/elapsed_time","usage/prompt_tokens","usage/total_tokens","welfare/max","welfare/mean","welfare/median","welfare/min","welfare/total"
"pretty-sweep-43","txvj5vq9","finished","-","gabrielmukobi","","2023-08-01T17:12:38.000Z","236","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","42","","0.3","0.9","1","7","10.9","0.3","23","23","1","","","1","1","","1","3","3","6","8","4","2","6","1","2","0","1","2","1","3","19","11","17","23","17","18","19","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","23","17.714285714285715","18","11","124"
"lyric-sweep-42","592yz9ol","finished","-","gabrielmukobi","","2023-08-01T17:12:29.000Z","241","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","41","","0.3","0.9","1","7","10.9","0.3","23","23","1","","","1","1","1","1","2","3","5","6","5","3","7","0","2","0","6","3","0","1","9","12","20","13","21","35","34","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","35","20.571428571428573","20","9","144"
"denim-sweep-41","f2rhp4uh","finished","-","gabrielmukobi","","2023-08-01T17:12:18.000Z","239","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","40","","0.3","0.9","1","7","10.9","0.3","25","25","1","","","1","1","","1","4","3","5","5","3","4","5","2","1","1","0","1","1","2","14","11","24","29","10","22","19","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","29","18.428571428571427","19","10","129"
"silvery-sweep-40","u55re93o","finished","-","gabrielmukobi","","2023-08-01T17:10:17.000Z","231","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","39","","0.3","0.9","1","7","10.9","0.3","29","29","1","","","1","1","","1","3","3","4","4","3","6","5","1","2","0","3","1","4","4","18","9","17","26","15","18","21","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","26","17.714285714285715","18","9","124"
"robust-sweep-39","txvj5vq9","finished","-","gabrielmukobi","","2023-08-01T17:08:45.000Z","226","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","38","","0.3","0.9","1","7","10.9","0.3","22","22","1","","","1","1","","1","5","4","3","6","2","6","3","3","2","0","2","1","3","3","17","14","15","19","9","44","13","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","44","18.714285714285715","15","9","131"
"ancient-sweep-38","592yz9ol","finished","-","gabrielmukobi","","2023-08-01T17:08:35.000Z","223","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","37","","0.3","0.9","1","7","10.9","0.3","28","28","1","","","1","1","","1","2","4","3","4","5","5","3","1","3","3","3","3","2","2","14","13","14","16","16","23","9","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","23","15","14","9","105"
"firm-sweep-37","f2rhp4uh","finished","-","gabrielmukobi","","2023-08-01T17:08:14.000Z","235","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","36","","0.3","0.9","1","7","10.9","0.3","29","29","1","","","1","1","1","1","3","4","4","4","6","4","5","0","3","3","3","4","1","4","12","23","19","25","21","39","18","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","39","22.428571428571427","21","12","157"
"true-sweep-36","u55re93o","finished","-","gabrielmukobi","","2023-08-01T17:06:34.000Z","214","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","35","","0.3","0.9","1","7","10.9","0.3","27","27","1","","","1","1","","1","6","3","4","4","4","5","4","3","1","0","4","3","1","2","41","18","14","11","11","27","11","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","41","19","14","11","133"
"dainty-sweep-35","txvj5vq9","finished","-","gabrielmukobi","","2023-08-01T17:05:08.000Z","212","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","34","","0.3","0.9","1","7","10.9","0.3","31","31","1","","","1","1","","1","3","3","6","3","4","3","6","0","3","4","3","4","2","5","22","11","22","11","15","22","16","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","22","17","16","11","119"
"balmy-sweep-34","592yz9ol","finished","-","gabrielmukobi","","2023-08-01T17:04:41.000Z","225","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","33","","0.3","0.9","1","7","10.9","0.3","28","28","1","","","1","1","","1","4","4","3","6","3","5","6","0","3","3","1","3","4","4","27","13","8","35","17","27","21","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","35","21.142857142857142","21","8","148"
"deft-sweep-33","f2rhp4uh","finished","-","gabrielmukobi","","2023-08-01T17:04:31.000Z","213","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","32","","0.3","0.9","1","7","10.9","0.3","29","29","1","","","1","1","","1","7","4","3","3","3","5","4","3","3","3","3","1","2","1","22","18","10","7","9","19","19","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","22","14.857142857142858","18","7","104"
